client_id,name,new_client_id,subcontractor id,x
130257,"Government of the Republic of Turkey, Embassy",,,x
129969,Government of the Republic of Uganda (Ug),,,x
130010,Government of the Republika Srpksa,,,x
130159,Government of the Saharwi Arab Democratic Republic,,,x
129770,Government of the State of Qatar,,,x
129834,Government of Turkey,,,x
129860,Govt of Mexico - Secretaria de Economia,,,x
129780,Govt. of India Ministry of Tourism,,,x
130283,"Govt. Of India, Ministry Of Tourism Transport Bhawan",,,x
130213,Grupo Vicini,,,x
129747,His Holiness the Dalai Lama,,,x
129954,Hong Kong Economic and Trade Office,,,x
129760,Hong Kong Tourism Board,,,x
129771,Hong Kong Trade Development Council,,,x
129804,Icelandic Tourist Board,,,x
129750,IDA Ireland,,,x
130071,Independent Diplomat,,,x
129806,India Trade Promotion Organisation,,,x
129984,Institute for Liberty and Democracy (ILD),,,x
129942,Institute Of Cetacean Research,,,x
130066,Instituto Costarricence de Turismo (Costa Rican Tourism Institute),,,x
129892,International Bank of Azerbaijan,,,x
129924,International Business Organization of Osaka(IBO),,,x
129749,"International Counsel Bureau, Kuwaiti Counsel for the Families of Kuwaiti Citizens at Guantanamo Bay",,,x
129859,International Sugar Policy Coordinating Commission of the Dominican Republic (Dominican Sugar Commission),,,x
130090,International Underwriting Association of London,,,x
130359,International Waterfront Resources Ltd.,,,x
130298,Invest Barbados,,,x
129907,Invest Northern Ireland,,,x
130148,Investissement Quebec,,,x
129877,Investment Promotion Agency of Spain - INTERES,,,x
129950,Iraqi National Accord,,,x
130147,"ISCI-USA, Inc",,,x
129745,Ishikawa Prefectural Government,,,x
130152,Islamic Supreme Council of Iraq,,,x
129799,Isle of Man,,,x
130018,Israel Ministry of Tourism,,,x
130222,Istanbul Iron and Steel Exporters Assoc.,,,x
129739,Jamaica Tourist Board,,,x
130127,"Japan Airport Consultants, Inc.",,,x
129869,"Japan Automobile Manufacturers, Inc.",,,x
129744,Japan External Trade Organization (JETRO),,,x
129805,Japan Fisheries Association (JFA),,,x
130231,"Japan International Broadcasting, Inc.",,,x
129782,Japan National Tourism Organization,,,x
130289,Japanese Government,,,x
130294,JETRO New York,,,x
129861,JNG Shareholders Group,,,x
130234,"Joint Stock Company ""Techsnabexport""",,,x
129746,Kanagawa Prefectural Government,,,x
130161,Kestral Holdings (Pvt.) Ltd.,,,x
130076,Kili/Bikini/Ejit Local Government Council,,,x
130032,King Abdullah University of Science and Technology,,,x
129796,Kingdom of Jordan,,,x
