clientreg_id,registration,reg_id,client_id,nclient_id,file_id
343,215,5781,93,84895,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
899,575,5781,98,84896,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
898,575,5781,36,84897,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
543,323,5781,88,84898,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
900,575,5781,208,84899,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
902,576,5781,36,84899,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
903,576,5781,98,84899,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
904,576,5781,210,84900,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
905,576,5781,208,84900,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
353,218,5781,12,84901,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
354,219,5781,375,84902,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
355,220,5781,8,84903,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
356,220,5781,169,84904,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
357,220,5781,253,84905,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
358,221,5781,8,84905,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
359,221,5781,169,84905,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
360,222,5781,325,84906,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
361,223,5781,325,84906,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
362,224,5781,94,84907,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
363,225,5781,94,84907,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
364,226,5781,240,84907,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
365,227,5781,384,84908,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
366,227,5781,347,84909,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
367,228,5781,53,84910,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
368,229,5781,197,84910,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
369,229,5781,183,84910,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
370,230,5781,197,84910,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
371,230,5781,183,84910,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
372,231,5781,365,84911,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
373,232,5781,247,84912,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
440,258,5781,260,84912,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
439,258,5781,31,84912,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
437,258,5781,183,84912,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
438,258,5781,35,84913,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
380,238,5781,315,84914,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
930,585,5781,366,84915,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
931,588,5781,70,84916,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
876,571,5781,233,84917,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
877,572,5781,233,84917,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
878,572,5781,2,84918,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
879,572,5781,174,84919,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
915,581,5781,217,84920,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
916,581,5781,234,84921,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
921,582,5781,16,84922,http://www.fara.gov/docs/5781-Supplemental-Statement-20100129-6.pdf
